Name,Number,Date,Patrick J. Harkins,Florindo J. Fabrizio,John Hornaman,Curtis G. Sonney,John R. Evans,Brad Roae,Mark A. Longietti,Richard R. Stevenson,Christopher Sainato,Jaret A. Gibbons,Brian L. Ellis,Daryl D. Metcalfe,John A. Lawrence,Jim Marshall,James J. Christiana,Robert F. Matzie,Michele Brooks,Eugene D. Digirolamo,Jake Wheatley Jr.,Adam J. Ravenstahl,Dominic J. Costa,Chelsa Wagner,Dan Frankel,Joseph Preston Jr.,Joseph F. Markosek,Timothy F. Hennessey,Daniel J. Deasy Jr.,Mike Turzai,Bernard T. O'Neill,Randy Vulakovich,Steven J. Santarsiero,Anthony M. Deluca,Frank Dermody,Paul Costa,Marc J. Gergely,Harry A. Readshaw III,Thomas Creighton,William C. Kortz II,Richard Saccone Ph.D.,John A. Maher,Ryan P. Aument,Matthew Smith,Scott W. Boyd,T. Mark Mustio,Nick Kotik,Jesse White,Keith Gillespie,Brandon P. Neuman,Peter J. Daley II,H. William Deweese,Timothy S. Mahoney,Deberah Kula,Robert W. Godshall,Eli Evankovich,Joseph A. Petrarca,George Dunbar,Timothy Krieger,R. Ted Harhai,Mike Reese,Jeffrey P. Pyle,Kate M. Harper,Dave Reed,Donna Oberlander,Scott E. Hutchinson,Kathy L. Rapp,Samuel H. Smith,Martin T. Causer,Matthew E. Baker,Carl Walker Metzgar,Matthew D. Bradford,Bryan E. Barbin,Frank J. Burns,Gary Haluska,Camille George,Matthew M. Gabler,Michael K. Hanna Sr.,Scott Conklin,Dick L. Hess,Richard A. Geist,Jerry A. Stern,Michael E. Fleck,C. Adam Harris,Rick Mirabito,Garth D. Everett,Fred Keller,Mark K. Keller,Glen R. Grell,Sheryl M. Delozier,Rob W. Kauffman,Todd Rock,Dan Moul,Scott Perry,Ronald E. Miller,Stanley E. Saylor,Eugene A. DePasquale,P. Michael Sturla,John C. Bear,David S. Hickernell,Gordon R. Denlinger,Bryan D. Cutler,Mauree A. Gingrich,Rosemarie Swanger,Ronald I. Buxton,Susan C. Helm,Ronald S. Marsico,John D. Payne,Kurt A. Masser,Lynda Schlegel Culver,David R. Millard,Tina Pickett,Sandra J. Major,Kenneth J. Smith,Kevin P. Murphy,Sid Michaels Kavulich,Edward G. Staback,Tarah C. Toohil,Karen Boback,Michael B. Carroll,Gerald J. Mullery,Phyllis Mundy,Eddie Day Pashinski,Doyle M. Heffley,Neal P. Goodman,Jerry P. Knowles,Mike Tobash,Dante Santoni Jr.,Thomas R. Caltagirone,Mark M. Gillen,James A. Cox Jr.,David M. Maloney Sr.,Justin J. Simmons,Jennifer L. Mann,Joseph F. Brennan,Douglas G. Reichley,Steve Samuelson,Robert Freeman,Joe Emrick,Marcia M. Hahn,Michael T. Peifer,John T. Galloway,Tina M. Davis,Frank A. Farry III,Marguerite Corr Quinn,Katharine M. Watson,Paul I. Clymer,Thomas J. Quigley,Marcy Toepel,Michael F. Gerber,Tim Briggs,Michael A. Vereb,Todd Stephens,Thomas P. Murt,Joshua D. Shapiro,Lawrence H. Curry,Curt Schroder,Dan Truitt,Warren E. Kampf,L. Chris Ross,Thaddeus Kirkland,Stephen E. Barrar,Joseph T. Hackett Sr.,Nicholas A. Miccarelli III,Nicholas A. Micozzie,Margo L. Davidson,William F. Adolph Jr.,Greg Vitali,Duane Milne Ph.D.,Thomas H. Killion,Dennis M. O'Brien,Brendan F. Boyle,Kerry A. Benninghoff,Kevin J. Boyle,Michael P. McGeehan,John P. Sabatina Jr.,Michael H. O'Brien,Mario M. Scavello,John J. Taylor,Scott A. Petri,Tony J. Payton Jr.,Angel L. Cruz,W. Curtis Thomas,Babette Josephs,Julie Harhart,William F. Keller,Maria P. Donatucci,Kenyatta J. Johnson,Gary W. Day,James R. Roebuck Jr.,Rosemary M. Brown,Vanessa L. Lowery Brown,Ronald G. Waters,Louise E. Williams Bishop,Will F. Tallman,Pamela A. DeLissio,Michelle F. Brownlee,Seth M. Grove,Jewell Williams,Rosita C. Youngblood,Stephen Bloom,Cherelle L. Parker,John Myers,Mark B. Cohen,Dwight Evans
"HB 279 PN 1427, FP",201,2011-04-13 15:24:00,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 280 PN 1428, FP",202,2011-04-13 15:25:00,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 281 PN 1429, FP",203,2011-04-13 15:26:00,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 282 PN 1430, FP",204,2011-04-13 15:28:00,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 284 PN 1431, FP",205,2011-04-13 15:29:00,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 286 PN 1432, FP",206,2011-04-13 15:30:00,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 287 PN 1433, FP",207,2011-04-13 15:31:00,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 288 PN 1434, FP",208,2011-04-13 15:33:00,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 289 PN 1435, FP",209,2011-04-13 15:34:00,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 290 PN 1436, FP",210,2011-04-13 15:39:00,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 291 PN 1437, FP",211,2011-04-13 15:40:00,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 294 PN 1438, FP",212,2011-04-13 15:41:00,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,E,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,E,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,E
"HB 712 PN 726, FP",213,2011-04-13 15:48:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E
HR 146 PN 1223,214,2011-04-13 15:52:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E
HR 167 PN 1372,215,2011-04-13 15:53:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E
HR 210 PN 1528,216,2011-04-13 15:57:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E
"HB 986 PN 1067, FP",217,2011-04-13 16:04:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E
MOT PUR TO RULE 15  TURZAI,218,2011-04-13 16:10:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,E
"HB 377 PN 1520, MOT TABLE, FREEMAN",219,2011-04-13 17:18:00,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,E,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,E,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,E,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,E,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,E,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,E
"HB 377 PN 1520, MOT CONST, STURLA",220,2011-04-13 17:28:00,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,E,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,E,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,E,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,E,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,E,Y,N,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,E
